Standard name ,Extended explanation 
EB*betLyr,Eclipsing binary of beta Lyr type
EB*WUMa,Eclipsing binary of W UMa type
EB*Planet,Star showing eclipses by its planet
SB*,Spectroscopic binary
CataclyV*,Cataclysmic Variable Star
DQHer,Cataclysmic Var. DQ Her type
AMHer,Cataclysmic Var. AM Her type
Nova-like,Nova-like Star
Nova,Nova
DwarfNova,Dwarf Nova
XB,X-ray Binary
LMXB,Low Mass X-ray Binary
HMXB,High Mass X-ray Binary
,
ISM ,Interstellar matter 
PartofCloud,Part of Cloud
PN?,Possible Planetary Nebula
ComGlob,Cometary Globule
Bubble,Bubble
EmObj,Emission Object
Cloud,Cloud
GalNeb,Galactic Nebula
BrNeb,Bright Nebula
DkNeb,Dark Cloud (nebula)
RfNeb,Reflection Nebula
MolCld,Molecular Cloud
Globule,Globule (low-mass dark cloud)
denseCore,Dense core inside a molecular cloud
HVCld,High-velocity Cloud
HII,HII (ionized) region
PN,Planetary Nebula
HIshell,HI shell
SNR?,SuperNova Remnant Candidate
SNR,SuperNova Remnant
Circumstellar,CircumStellar matter
outflow?,Outflow candidate
Outflow,Outflow
HH,Herbig-Haro Object
,
Star ,Star 
*inCl,Star in Cluster
*inNeb,Star in Nebula
*inAssoc,Star in Association
*in**,Star in double system
V*?,Star suspected of Variability
Pec*,Peculiar Star
HB*,Horizontal Branch Star
YSO,Young Stellar Object
Em*,Emission-line Star
Be*,Be Star
BlueStraggler,Blue Straggler Star
RGB*,Red Giant Branch star
AGB*,Asymptotic Giant Branch Star (He-burning)
C*,Carbon Star
S*,S Star
SG*,Evolved supergiant star
RedSG*,Red supergiant star
YellowSG*,Yellow supergiant star
BlueSG**,Blue supergiant star
post-AGB*,Post-AGB Star (proto-PN)
WD*,White Dwarf
pulsWD*,Pulsating White Dwarf
low-mass*,Low-mass star (M<1solMass)
brownD*,Brown Dwarf (M<0.08solMass)
OH/IR,Star with envelope of OH/IR type
CH,Star with envelope of CH type
pMS*,Pre-main sequence Star
TTau*,T Tau-type Star
WR*,Wolf-Rayet Star
PM*,High proper-motion Star
HV*,High-velocity Star
V*,Variable Star
Irregular_V*,Variable Star of irregular type
Orion_V*,Variable Star of Orion Type
Rapid_Irreg_V*,Variable Star with rapid variations
Eruptive*,Eruptive variable Star
Flare*,Flare Star
FUOr,Variable Star of FU Ori type
Erupt*RCrB,Variable Star of R CrB type
RotV*,Rotationally variable Star
RotV*alf2CVn,Variable Star of alpha2 CVn type
RotV*Ell,Ellipsoidal variable Star
Pulsar,Pulsar
BYDra,Variable of BY Dra type
RSCVn,Variable of RS CVn type
PulsV*,Pulsating variable Star
RRLyr,Variable Star of RR Lyr type
Cepheid,Cepheid variable Star
PulsV*delSct,Variable Star of delta Sct type
PulsV*RVTau,Variable Star of RV Tau type
PulsV*WVir,Variable Star of W Vir type
PulsV*bCep,Variable Star of beta Cep type
deltaCep,Classical Cepheid (delta Cep type)
gammaDor,Variable Star of gamma Dor type
pulsV*SX,Variable Star of SX Phe type (subdwarf)
LPV*,Long-period variable star
Mira,Variable Star of Mira Cet type
semi-regV*,Semi-regular pulsating Star
SN,SuperNova
Symbiotic*,Symbiotic Star
Sub-stellar,Sub-stellar object
Planet?,Extra-solar Planet Candidate
,
Galaxy ,Galaxy 
PartofG,Part of a Galaxy
GinCl,Galaxy in Cluster of Galaxies
BClG,Brightest galaxy in a Cluster (BCG)
GinGroup,Galaxy in Group of Galaxies
GinPair,Galaxy in Pair of Galaxies
High_z_G,Galaxy with high redshift
AbsLineSystem,Absorption Line system
Ly-alpha_ALS,Ly alpha Absorption Line system
DLy-alpha_ALS,Damped Ly-alpha Absorption Line system
metal_ALS,metallic Absorption Line system
Ly-limit_ALS,Lyman limit system
Broad_ALS,Broad Absorption Line system
RadioG,Radio Galaxy
HII_G,HII Galaxy
LSB_G,Low Surface Brightness Galaxy
AGN_Candidate,Possible Active Galaxy Nucleus
QSO_Candidate,Possible Quasar
Blazar_Candidate,Possible Blazar
BLLac_Candidate,Possible BL Lac
EmG,Emission-line galaxy
StarburstG,Starburst Galaxy
BlueCompG,Blue compact Galaxy
LensedImage,Gravitationally Lensed Image
LensedG,Gravitationally Lensed Image of a Galaxy
LensedQ,Gravitationally Lensed Image of a Quasar
AGN,Active Galaxy Nucleus
LINER,LINER-type Active Galaxy Nucleus
Seyfert,Seyfert Galaxy
Seyfert_1,Seyfert 1 Galaxy
Seyfert_2,Seyfert 2 Galaxy
Blazar,Blazar
BLLac,BL Lac - type object
OVV,Optically Violently Variable object
QSO,Quasar
